Food,Allergy
Almond,Nut Allergy
Apple,Oral Allergy Syndrome
Apricot,Stone Fruit Allergy
Artichoke,Insulin Allergy
Asparagus,Allium Allergy
Avocado,Oral Allergy Syndrome
Bamboo shoot,Histamine Allergy
Banana,Banana Allergy
Barley,Gluten Allergy
Bean,Legume Allergy
Blackberry,Salicylate Allergy
Black-eyed bean,Legume Allergy
Blueberry,Salicylate Allergy
Bonito,Histamine Allergy
Broad bean,Legume Allergy
Broccoli,Broccoli allergy
Brussels sprouts,Cruciferous Allergy
Buckwheat,Gluten Allergy
Burdock,Ragweed Allergy
Butter,Milk allergy / Lactose intolerance
Butter bean,Legume Allergy
Buttermilk,Milk allergy / Lactose intolerance
Button mushroom,Mushroom Allergy
Cabbage,Cruciferous Allergy
Cacao bean,
Canola oil,
Carrot,Hypersensitivity
Casein,Milk allergy / Lactose intolerance
Cattle,Alpha-gal Syndrome
Cauliflower,Cruciferous Allergy
Celery,Hypersensitivity
Cheese,Milk allergy / Lactose intolerance
Cherry,Stone Fruit Allergy
Chestnut,Nut Allergy
Chicken,Poultry Allergy
Chicory,Insulin Allergy
Chinese cabbage,Cruciferous Allergy
Coconut oil,
Coffee bean,Ochratoxin Allergy
Corn,Corn Allergy
Corn oil,
Cotton seed,Seed Allergy
Cranberry,Salicylate Allergy
Cream,Milk allergy / Lactose intolerance
Crustaceans,Shellfish Allergy
Cucumber ,
Custard,Milk allergy / Lactose intolerance
Date,Oral Allergy Syndrome
Deer,Alpha-gal Syndrome
Duck,Poultry Allergy
Eel,Fish Allergy
Egg plant,Nightshade Allergy
Eggs,Poultry Allergy
Endive,Insulin Allergy
Fructose,Sugar Allergy / Intolerance
Garlic,Allium Allergy
Ghrkin,
Ginger,Histamine Allergy
Ginkgo nut,Nut Allergy
Globfish,Fish Allergy
Glucose,Sugar Allergy / Intolerance
Goat,Alpha-gal Syndrome
Grape,LTP Allergy
Grapefruit,Citrus Allergy
Grapeseed oil,
Green soybean,Legume Allergy
Groundnut oil,
Guava,Oral Allergy Syndrome
Honey,Honey Allergy
Hop,Beer Allergy
Horse,Alpha-gal Syndrome
Horse Mackerel,Fish Allergy
Horseradish,Cruciferous Allergy
Huckleberry,Salicylate Allergy
Ice cream,Milk allergy / Lactose intolerance
Japanese pear,Oral Allergy Syndrome
Japanese persimmon,
Japanese plum,Stone Fruit Allergy
Kale,Cruciferous Allergy
Kidney bean,Legume Allergy
Kiwi,Oral Allergy Syndrome
Konjac,Potato Allergy
Kyona,Cruciferous Allergy
Lactose,Lactose Intolerance
Leek,Allium Allergy
Lemon,Citrus Allergy
Lentil,Legume Allergy
Lettuce ,LTP Allergy
Lima bean,Legume Allergy
Lime,Citrus Allergy
Loquat,Oral Allergy Syndrome
Mackerel,Fish Allergy
Makuwauri  melon,
Mango,Oral Allergy Syndrome
Melons,
Milk,Milk allergy / Lactose intolerance
Mineral water,Aquagenic Urticaria
Mitsuba,Hypersensitivity
Mume plum,Stone Fruit Allergy
Mustard oil,
Mustard Spinach,Cruciferous Allergy
Nectarine,Stone Fruit Allergy
Nira,Allium Allergy
Okra,Histamine Allergy
Olive oil,
Onion,Allium Allergy
Orange,Citrus Allergy
Orange pulp,Citrus Allergy
Papaya,Oral Allergy Syndrome
Parsley,Hypersensitivity
Parsnip,Hypersensitivity
Passion fruit,Oral Allergy Syndrome
Peach,Stone Fruit Allergy
Peanut,Peanut Allergy
Pear,Oral Allergy Syndrome
Peas,Legume Allergy
Peas,Legume Allergy
Pecan,Nut Allergy
Pegia,Legume Allergy
Peppermint,Mint Allergy
Percifomes,Fish Allergy
Pig,Alpha-gal Syndrome
Pineapple,Oral Allergy Syndrome
Popcorn,Corn Allergy
Potato,Potato Allergy
Prune,Stone Fruit Allergy
Pumpkin,
Qing-geng-cai,Cruciferous Allergy
Quince,Oral Allergy Syndrome
Radish leaf,
Radish root,Hypersensitivity
Rapeseed,Seed Allergy
Raspberry,Salicylate Allergy
Rice,Rice Allergy
Ricebran oil,
Royal Jelly,Honey Allergy
Rye,Gluten Allergy
Safflower seed,Seed Allergy
Salmon,Fish Allergy
Salsify,Insulin Allergy
Sansho,Pepper Allergy
Sea Bass,Fish Allergy
Sea Bream,Fish Allergy
Sesame seed,Seed Allergy
Shallot,Allium Allergy
Sheep,Alpha-gal Syndrome
Shelled mollusc,Fish Allergy
Shiitake  mushroom,Mushroom Allergy
Shungiku,Insulin Allergy
Sour cream,Milk allergy / Lactose intolerance
Soybean,Soy Allergy
Spearmint,Mint Allergy
Spinach,Histamine Allergy
Squash,
Strawberry,Salicylate Allergy
Sugar,Sugar Allergy / Intolerance
Sugar beet,Sugar Allergy / Intolerance
Sugarcane,Sugar Allergy / Intolerance
Sultani,Legume Allergy
Sultapya,Legume Allergy
Sunflower oil,
Sunflower seed,Seed Allergy
Sweet corn,Corn Allergy
Sweet Pepper,Nightshade Allergy
Sweet potato,Potato Allergy
Taro,Potato Allergy
Tea,Tannin Allergy
Tetraodontiformes,Fish Allergy
Tomato,Nightshade Allergy
Trout,Fish Allergy
Tuna,Fish Allergy
Turkey,Poultry Allergy
Turnip leaf,
Turnip root,Thyroid
Vegetable oil,
Walnut,Nut Allergy
Water melon,
Watercress,
Welsh,Allium Allergy
Wheat,Gluten Allergy
Whey,Milk allergy / Lactose intolerance
White bean,Legume Allergy
Yam,Potato Allergy
Yogurt ,Milk allergy / Lactose intolerance